scorer,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada
bodyparts,nose,nose,neck,neck,leftforepaw,leftforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,tail,tail
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\2021-03-18_102_CB008_bellyCam\img000447.png,82.74752041207728,259.18940763877475,179.541865307688,229.7302591922845,143.06863389774776,254.98095786070468,127.63765137815756,302.67672201216504,,,420.8263192503698,257.7865910460847,439.06293495533987,79.62888377445341,,
labeled-data\2021-03-18_102_CB008_bellyCam\img012407.png,84.15033700476727,256.3837744533947,168.31933256616787,247.96687489725463,120.6235684147075,235.34152556304457,189.36158145651802,319.5105211244452,,,401.18688695270964,312.4964381609951,455.89673406762006,100.67113266480357,,
labeled-data\2021-03-18_102_CB008_bellyCam\img018941.png,82.74752041207728,253.5781412680147,171.12496575154796,249.36969148994467,143.06863389774776,253.5781412680147,175.33341552961792,322.3161543098252,,,446.0770179187899,325.12178749520524,472.73053317990014,113.29648199901368,,
labeled-data\2021-03-18_102_CB008_bellyCam\img035732.png,84.15033700476727,253.5781412680147,173.93059893692794,250.77250808263466,159.90243301002783,236.74434215573456,193.5700312345881,320.91333771713516,,,526.0375637021206,319.5105211244452,,,,
labeled-data\2021-03-18_102_CB008_bellyCam\img041906.png,82.74752041207728,252.1753246753247,171.12496575154796,245.16124171187465,148.6799002685077,249.36969148994467,143.06863389774776,333.5386870513453,419.4235026576797,344.76121979286535,,,462.9108170310701,113.29648199901368,,
labeled-data\2021-03-18_102_CB008_bellyCam\img042395.png,82.74752041207728,254.98095786070468,147.27708367581772,245.16124171187465,89.76160337552733,208.68801030193436,166.91651597347789,323.7189709025152,,,547.0798125924707,309.6908049756151,489.5643322921802,121.71338155515372,,
labeled-data\2021-03-18_102_CB008_bellyCam\img054576.png,82.74752041207728,253.5781412680147,152.88835004657778,242.35560852649462,,,115.01230204394756,305.4823551975451,,,506.3981314044604,313.8992547536851,479.7446161433502,116.10211518439371,,
labeled-data\2021-03-18_102_CB008_bellyCam\img055818.png,85.55315359745725,253.5781412680147,164.1108827880979,253.5781412680147,140.26300071236767,238.1471587484246,140.26300071236767,332.1358704586553,,,448.88265110417,326.5246040878952,464.3136336237601,114.69929859170367,,
labeled-data\2021-03-18_102_CB008_bellyCam\img065811.png,82.74752041207728,259.18940763877475,147.27708367581772,256.3837744533947,116.41511863663754,233.93870897035453,124.83201819277758,340.5527700147953,,,408.2009699161597,306.88517179023506,489.5643322921802,121.71338155515372,495.1755986629403,225.5218094142145
labeled-data\2021-03-18_102_CB008_bellyCam\img069996.png,82.74752041207728,259.18940763877475,147.27708367581772,256.3837744533947,127.63765137815767,242.35560852649462,130.44328456353765,346.1640363855554,,,416.61786947229973,315.3020713463751,493.7727820702502,125.92183133322374,495.1755986629403,225.5218094142145
labeled-data\2021-03-18_102_CB008_bellyCam\img075241.png,85.55315359745725,256.3837744533947,161.30524960271782,250.77250808263466,133.24891774891762,247.96687489725468,134.6517343416076,332.1358704586553,,,437.6601183626499,315.30207134637516,507.8009479971504,121.71338155515372,,
labeled-data\2021-03-18_102_CB008_bellyCam\img086672.png,85.55315359745725,256.3837744533947,155.69398323195787,250.77250808263466,109.4010356731875,217.10490985807445,141.66581730505766,337.7471368294153,,,363.3108389500793,309.6908049756151,457.29955066031005,85.24015014521348,,
labeled-data\2021-03-18_102_CB008_bellyCam\img090962.png,84.15033700476727,253.5781412680147,168.31933256616787,240.95279193380458,134.6517343416076,222.71617622883446,197.77848101265818,306.88517179023506,,,446.0770179187899,257.7865910460847,467.1192668091401,48.76691873527318,,
labeled-data\2021-03-18_102_CB008_bellyCam\img092946.png,84.15033700476727,257.7865910460847,157.09679982464786,250.77250808263466,124.83201819277758,218.50772645076444,172.52778234423795,320.9133377171352,,,411.00660310153967,320.91333771713516,465.7164502164501,106.28239903556363,,
labeled-data\2021-03-18_102_CB008_bellyCam\img095733.png,86.95597019014735,254.98095786070468,159.90243301002783,252.1753246753247,120.6235684147075,233.93870897035453,218.82072990300833,340.5527700147953,,,468.52208340183006,322.3161543098252,478.3417995506601,90.85141651597354,,
labeled-data\2021-03-18_102_CB008_bellyCam\img098683.png,82.74752041207728,253.5781412680147,150.0827168611978,246.56405830456464,133.24891774891762,205.88237711655432,106.5954024878074,292.85700586333496,,,325.4347909474491,361.5950189051455,499.38404844101035,149.76971340895392,,
labeled-data\2021-03-18_102_CB008_bellyCam\img105979.png,84.15033700476727,256.3837744533947,165.5136993807879,245.16124171187465,122.02638500739761,240.95279193380458,162.70806619540792,306.88517179023506,,,387.15872102580954,319.5105211244452,471.32771658721015,81.03170036714346,,
labeled-data\2021-03-18_102_CB008_bellyCam\img109632.png,84.15033700476727,256.3837744533947,165.5136993807879,245.16124171187465,131.84610115622775,242.35560852649462,165.513699380788,308.28798838292505,,,402.58970354539963,320.9133377171352,495.1755986629404,88.04578333059351,,
labeled-data\2021-03-18_102_CB008_bellyCam\img113475.png,84.15033700476727,256.3837744533947,172.52778234423795,245.16124171187465,137.4573675269878,242.35560852649462,172.52778234423806,308.28798838292505,,,409.6037865088497,320.9133377171352,499.38404844101035,90.85141651597348,,
