scorer,,,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada
bodyparts,,,nose,nose,neck,neck,leftforepaw,leftforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2021-12-10_103_FT039_bellyCam,img00353.png,567.8731689453125,258.3473205566406,506.2409362792969,252.91481018066406,520.423828125,320.2148742675781,512.3551025390625,180.37347412109375,257.2983383318268,413.5009859102528,111.87606811523438,118.98920440673828,,,,
labeled-data,2021-12-10_103_FT039_bellyCam,img00385.png,567.9200439453125,257.8813171386719,502.0363464355469,252.374755859375,520.1685180664062,318.4300537109375,511.1239318847656,180.16273498535156,248.50201416015625,412.07745361328125,111.4609603881836,118.7564697265625,,,,
labeled-data,2021-12-10_103_FT039_bellyCam,img00980.png,568.0518798828125,257.13543701171875,500.5907897949219,252.62884521484375,518.78759765625,318.047607421875,507.80694580078125,179.77748107910156,259.6300077700025,419.52020703583196,110.54966735839844,118.9912109375,,,,
labeled-data,2021-12-10_103_FT039_bellyCam,img01345.png,568.1046142578125,257.46929931640625,501.0473327636719,252.80567932128906,518.5526733398438,319.1010437011719,507.8501281738281,179.45623779296875,243.80067443847656,412.9301452636719,110.92049407958984,119.56157684326172,,,,
labeled-data,2021-12-10_103_FT039_bellyCam,img02020.png,562.7686767578125,246.68267822265625,501.38714599609375,246.97384643554688,548.663330078125,276.6463317871094,491.51904296875,166.32763671875,204.1907958984375,423.3522644042969,116.98296644920174,107.35398878411718,,,,
labeled-data,2021-12-10_103_FT039_bellyCam,img02896.png,566.1142578125,257.2561340332031,503.6974792480469,250.95001220703125,543.1407470703125,290.0740661621094,496.7935485839844,175.60691833496094,231.88528442382812,419.92681884765625,123.42464563904662,109.21408190959983,,,,
labeled-data,2021-12-10_103_FT039_bellyCam,img06440.png,568.248779296875,255.03567504882812,504.7607727050781,243.508544921875,553.1131591796875,287.93133544921875,481.9344482421875,150.0557403564453,232.85487365722656,409.7958068847656,116.14313507080078,104.41661071777344,,,,
labeled-data,2021-12-10_103_FT039_bellyCam,img06450.png,568.3289184570312,255.24114990234375,504.08453369140625,243.86151123046875,553.076904296875,288.0454406738281,481.820068359375,150.06060791015625,232.64102172851562,409.5973205566406,116.3051986694336,104.35523986816406,92.10523986816406,297.1715087890625,,
labeled-data,2021-12-10_103_FT039_bellyCam,img06685.png,568.4716796875,255.28970336914062,501.6309509277344,241.11361694335938,552.1058349609375,287.01409912109375,479.28826904296875,150.3399658203125,229.4564208984375,411.0255126953125,114.65745544433594,105.3385009765625,93.6124038696289,305.39337158203125,,
labeled-data,2021-12-10_103_FT039_bellyCam,img06865.png,567.485107421875,256.2762451171875,501.86767578125,242.2158203125,550.5848999023438,287.6707458496094,476.1160583496094,150.57992553710938,222.46554565429688,417.69622802734375,111.42900085449219,116.20294952392578,122.80239284038316,298.7584055371267,,
labeled-data,2021-12-10_103_FT039_bellyCam,img06925.png,566.9254150390625,255.6655731201172,500.8988952636719,242.29959106445312,551.2970581054688,288.0086975097656,477.03094482421875,150.94338989257812,210.4947967529297,422.26300048828125,111.52088928222656,114.9977035522461,114.3767334542606,287.1842310166813,,
labeled-data,2021-12-10_103_FT039_bellyCam,img07427.png,567.4332275390625,256.9950256347656,508.3360290527344,249.4735870361328,521.4934692382812,302.3710632324219,519.1060791015625,177.00843811035156,231.32046508789062,438.5501708984375,128.20309448242188,103.37702178955078,119.47393935484388,290.6138668612658,,
labeled-data,2021-12-10_103_FT039_bellyCam,img07451.png,567.7589111328125,256.2658996582031,506.7586975097656,247.65342712402344,522.5816650390625,299.39306640625,517.45849609375,173.81289672851562,228.3567352294922,437.2087707519531,126.5220718383789,103.83128356933594,131.3924609917214,278.542742755354,,
labeled-data,2021-12-10_103_FT039_bellyCam,img07534.png,569.7667846679688,257.4369201660156,507.91058349609375,248.3291473388672,521.7857055664062,300.1089172363281,516.2474365234375,173.7495880126953,226.3788604736328,437.2408142089844,117.7062006083928,113.55003356933594,122.26016536575622,274.98603422176484,,
labeled-data,2021-12-10_103_FT039_bellyCam,img07625.png,569.5606079101562,256.5269470214844,506.1764221191406,246.74383544921875,523.4586181640625,296.3204650878906,514.8353271484375,170.58749389648438,222.89462280273438,435.1860046386719,111.26834106445312,117.71741485595703,122.28128078508786,279.9629343370161,,
labeled-data,2021-12-10_103_FT039_bellyCam,img07911.png,566.0338745117188,253.95437622070312,502.70306396484375,243.9315643310547,521.8984375,292.3146057128906,511.82318115234375,165.04141235351562,214.38531494140625,428.2322998046875,115.07948076434184,110.31446604612552,111.26528896354927,286.90679839470187,,
labeled-data,2021-12-10_103_FT039_bellyCam,img07933.png,566.7548828125,255.07861328125,504.05389404296875,244.11424255371094,520.6106567382812,291.4496154785156,509.023681640625,164.47593688964844,209.22406005859375,427.3857727050781,117.17719138250027,110.31946158118524,111.2910021456438,290.55791631268727,,
labeled-data,2021-12-10_103_FT039_bellyCam,img08045.png,566.9520263671875,254.0688018798828,503.5444030761719,243.88876342773438,520.2230834960938,291.63067626953125,508.0628967285156,163.4255828857422,200.5809326171875,423.825439453125,122.92467808141805,105.11923135199396,111.71292883304727,271.61559068575684,,
