scorer,,,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada
bodyparts,,,nose,nose,neck,neck,leftforepaw,leftforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2021-12-16_102_CB020_bellyCam,img00398.png,568.6047973632812,267.97589111328125,536.7219848632812,251.47100830078125,542.2247668415689,281.01738401666574,445.5622866870291,105.9974138923493,,,,,,,,
labeled-data,2021-12-16_102_CB020_bellyCam,img01236.png,572.0460302651686,265.50244753043734,485.4382019042969,220.125244140625,524.7005004882812,243.092529296875,522.5673217773438,241.39337158203125,210.83453607906608,379.76858883824707,168.94757080078125,80.68456268310547,110.78921508789062,305.36700439453125,45.80586356110075,344.67964452732986
labeled-data,2021-12-16_102_CB020_bellyCam,img03400.png,567.7391967773438,272.0224304199219,496.3647155761719,231.12327575683594,530.19580078125,277.0148010253906,438.2059631347656,101.14128112792969,241.44033813476562,465.45220947265625,438.56365966796875,103.2967529296875,113.43933868408203,272.86431884765625,143.27719116210938,92.30506896972656
labeled-data,2021-12-16_102_CB020_bellyCam,img03585.png,562.3469848632812,245.6652069091797,509.6376953125,243.6129150390625,566.5137939453125,270.9327392578125,453.43243408203125,111.36605834960938,203.9009552001953,375.9368896484375,209.1353302001953,64.85523223876953,116.78215789794922,255.71453857421875,49.52098846435547,256.526123046875
labeled-data,2021-12-16_102_CB020_bellyCam,img04761.png,567.103271484375,272.5523986816406,504.3031921386719,274.66400146484375,526.249755859375,163.97401428222656,513.4970092773438,230.8513946533203,198.67347717285156,378.1370544433594,209.97738647460938,52.497737884521484,104.08085632324219,257.6209411621094,29.399328231811523,275.5794372558594
labeled-data,2021-12-16_102_CB020_bellyCam,img05249.png,569.7716674804688,268.3844299316406,509.77410888671875,240.65457153320312,528.4459228515625,288.6116638183594,457.2959289550781,91.32672882080078,202.77474975585938,295.184326171875,287.458740234375,86.65928649902344,131.61754146256283,228.75568540413303,26.545440983904143,206.4576801115918
labeled-data,2021-12-16_102_CB020_bellyCam,img05328.png,569.45849609375,269.5622863769531,485.0250549316406,259.9782409667969,440.77630615234375,338.0801696777344,491.18524169921875,145.65484619140625,67.51485443115234,286.1592102050781,162.1533203125,74.42550659179688,92.16294860839844,230.57333374023438,,
labeled-data,2021-12-16_102_CB020_bellyCam,img06756.png,569.8419799804688,272.2826843261719,512.0602416992188,263.0496826171875,534.1114320294679,222.18093768191125,397.45486003670965,98.0947782537346,238.39930725097656,360.33538818359375,80.54208965249939,154.53809585119558,130.16537475585938,327.82159423828125,98.28290381370823,423.74416844744496
labeled-data,2021-12-16_102_CB020_bellyCam,img09018.png,568.25,269.486572265625,514.125244140625,262.3167419433594,522.8285206897236,239.0194508034898,531.3287963867188,182.96484375,,,242.96414184570312,80.87948608398438,134.4300537109375,272.8576965332031,65.12633514404297,312.75665283203125
labeled-data,2021-12-16_102_CB020_bellyCam,img10384.png,567.2833862304688,272.528076171875,501.2688903808594,214.6852569580078,542.9456787109375,234.3441162109375,471.0549621582031,102.54386901855469,191.64625788082367,325.8665417521812,,,,,,
labeled-data,2021-12-16_102_CB020_bellyCam,img10463.png,566.777099609375,273.6226501464844,505.4053955078125,220.4198455810547,549.3258666992188,241.0116424560547,458.3505456625654,96.10570100530691,190.74903869628906,359.6470947265625,,,103.4122085571289,318.00946044921875,,
labeled-data,2021-12-16_102_CB020_bellyCam,img10498.png,568.229248046875,272.3183288574219,498.8221130371094,213.73233032226562,547.0841064453125,229.75338745117188,446.6160583496094,96.53923797607422,187.2106475830078,345.1426086425781,,,105.04788208007812,322.8212890625,,
labeled-data,2021-12-16_102_CB020_bellyCam,img12928.png,571.0372924804688,271.0836486816406,522.0901489257812,263.8548583984375,530.8120704696051,219.35530536596121,514.4475378955434,143.00398586443572,220.40967284742828,348.6329540850252,,,130.94049259092014,323.5272710918262,,
labeled-data,2021-12-16_102_CB020_bellyCam,img13793.png,570.9322509765625,268.6896667480469,506.72900390625,245.79995727539062,540.9411010742188,282.6698913574219,441.3155212402344,113.482666015625,198.37574768066406,355.9349670410156,151.2002599808253,75.41282778359516,129.73871015503767,326.52676526748604,,
labeled-data,2021-12-16_102_CB020_bellyCam,img16946.png,568.9241333007812,276.1940002441406,498.88543701171875,237.9261932373047,550.9948961947565,246.18651139584262,420.13227947857206,107.64745283908758,207.9737548828125,323.7352600097656,230.44595398929278,62.20742631696913,113.70231628417969,271.80084228515625,,
labeled-data,2021-12-16_102_CB020_bellyCam,img16953.png,568.214599609375,273.2304382324219,494.03717041015625,232.46728515625,542.4552001953125,238.44439697265625,408.2365946847907,108.71725017342845,201.3441925048828,321.10498046875,222.38059509430525,65.313936920549,111.22795867919922,272.5350341796875,,
labeled-data,2021-12-16_102_CB020_bellyCam,img20498.png,570.5215551675125,275.4101660073563,497.80816650390625,215.80699157714844,536.5762329101562,239.1108856201172,476.2631213130845,102.41733888372488,198.59371948242188,345.769775390625,,,144.32368427114056,282.00778073691265,,
