scorer,,,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada,Andrada
bodyparts,,,nose,nose,neck,neck,leftforepaw,leftforepaw,rightforepaw,rightforepaw,lefthindpaw,lefthindpaw,righthindpaw,righthindpaw,baseoftail,baseoftail,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2022-07-12_101_EB016_bellyCam,img00527.png,,,,,,,466.81841782569074,209.4951131007694,87.76587831084987,372.7621484974957,158.2823473821116,113.77907812396052,,,,
labeled-data,2022-07-12_101_EB016_bellyCam,img08731.png,541.0109969175512,276.8908573004977,482.8795944796499,264.881441043504,423.8353373201725,371.22970280957657,542.2523591922409,255.33995990024886,,,,,,,,
labeled-data,2022-07-12_101_EB016_bellyCam,img09572.png,538.0055541992188,273.1620788574219,476.4098740875912,264.36044061383245,394.6550890813303,395.34609860281466,493.72930908203125,213.6133575439453,299.68726269669844,400.1716177685467,,,118.65396526718467,240.39895971748984,80.6222864369488,253.3030336307176
labeled-data,2022-07-12_101_EB016_bellyCam,img09874.png,539.0502213441673,276.14731768833474,469.9641580217519,271.3928752127568,487.292236328125,383.8995056152344,503.6961975097656,271.7656555175781,282.13494622906694,416.5173620005512,,,97.43462892931797,239.5754033489244,,
labeled-data,2022-07-12_101_EB016_bellyCam,img11388.png,537.734375,275.2077941894531,463.7264366775846,268.3044365220515,440.72033266120457,380.10388475503083,501.896890442241,269.8879369517231,250.6451954659542,378.2088492138592,,,84.89352562887518,248.93119903737698,,
labeled-data,2022-07-12_101_EB016_bellyCam,img11862.png,541.5712174379173,277.66372555593966,476.79920300778065,270.44341107143083,419.9942833734101,389.4408361724324,491.7766711125803,267.7104984137789,230.803776642019,375.66074417200883,,,88.07519422555282,236.5625972224205,,
labeled-data,2022-07-12_101_EB016_bellyCam,img12306.png,537.5791015625,274.7598876953125,476.3661050432363,273.7154074079355,483.91845703125,326.4691162109375,455.6064652406518,263.0157564090379,184.39649963378906,375.5678816831764,,,89.22573618774265,233.8505318227309,,
labeled-data,2022-07-12_101_EB016_bellyCam,img12624.png,537.6608276367188,274.86236572265625,475.17286648784784,274.44098959333263,453.1754748235178,372.3857515262254,495.2445068359375,247.26885986328125,311.3481316896126,385.5436139550622,,,123.44401458566989,244.32596542271773,84.50613403320312,250.794677734375
labeled-data,2022-07-12_101_EB016_bellyCam,img12990.png,538.6425170898438,274.73883056640625,485.43686846958474,267.8543295940017,415.528122364747,394.5238807560154,473.94989013671875,287.048583984375,274.0671573493257,388.1744359751606,,,89.75683489505144,244.46142111188732,,
labeled-data,2022-07-12_101_EB016_bellyCam,img14819.png,538.0370483398438,271.3016662597656,471.013263306357,264.2132543345356,433.1996708439857,397.94217152472777,391.0065815420764,303.5276221614927,,,225.82086056570523,122.19745339983149,,,,
labeled-data,2022-07-12_101_EB016_bellyCam,img20679.png,539.428286192808,277.7589298102632,471.8676502664757,277.0214189208586,302.17484679364105,391.02229817787446,517.9581616510917,272.47915524343966,243.8123779296875,389.1805725097656,,,,,,
labeled-data,2022-07-12_101_EB016_bellyCam,img22559.png,539.7869262695312,274.7054138183594,484.7676684270334,272.21262338793906,375.7559816114398,397.6350394501936,471.48824014299544,274.1807649539598,202.0176039732154,411.9402970277611,,,84.71818433904423,249.5429826738379,,
labeled-data,2022-07-12_101_EB016_bellyCam,img23710.png,536.1898430161921,277.9476505133883,,,476.2488179855413,361.2377062526922,512.6738598932791,276.7072037660424,159.9694095465914,388.57777496511136,,,,,,
labeled-data,2022-07-12_101_EB016_bellyCam,img24684.png,540.5731811523438,275.5653076171875,465.3986119336256,268.99099981585505,458.846435546875,349.03302001953125,475.0804748535156,252.88511657714844,242.9344821784274,363.2817569587008,,,86.83743761375439,240.69826987023498,,
labeled-data,2022-07-12_101_EB016_bellyCam,img24910.png,541.4796541141161,273.8416442871094,472.8887939453125,268.2624816894531,421.1314180301316,362.20793618791737,475.98760986328125,237.86680603027344,229.82432431082248,358.6716283579731,,,87.95213676112655,235.83199706338263,,
labeled-data,2022-07-12_101_EB016_bellyCam,img26336.png,542.7460408028683,276.9558703313303,479.6885681152344,266.2308654785156,324.6478821792799,393.8604629603224,456.6935058755129,342.4476429261188,241.12991799944086,402.83188675013383,,,81.55658817743648,233.1482533942078,,
labeled-data,2022-07-12_101_EB016_bellyCam,img28199.png,539.7335815429688,276.99273681640625,474.3345567047786,271.02718057268305,455.67724609375,358.0140686035156,523.4288330078125,247.362548828125,178.0540313720703,382.3302917480469,,,,,,
labeled-data,2022-07-12_101_EB016_bellyCam,img29690.png,543.051025390625,277.3160400390625,480.013149324069,285.0508410344553,439.0232238769531,405.6182861328125,523.4309692382812,268.5413818359375,222.31126403808594,391.2502136230469,149.88841964635054,103.56692321430853,102.94594127863581,219.03449053296742,,
labeled-data,2022-07-12_101_EB016_bellyCam,img30214.png,540.7601318359375,275.6529235839844,476.7017205245239,276.62993450893083,406.2418282925132,411.211267357546,491.0018615722656,275.3321838378906,171.9525146484375,396.5823974609375,,,,,,
labeled-data,2022-07-12_101_EB016_bellyCam,img30362.png,,,,,402.73741741908714,410.87849084403354,497.5700084087923,277.188961340838,175.26127507629315,401.783890103949,,,,,,
